local,codigo,Taxa de crescimento efetivo
Arcos de Valdevez,1111601,0.7
Caminha,1111602,1.45
Melgaço,1111603,-0.21
Monção,1111604,0.65
Paredes de Coura,1111605,0.38
Ponte da Barca,1111606,0.66
Ponte de Lima,1111607,0.16
Valença,1111608,1.62
Viana do Castelo,1111609,0.61
Vila Nova de Cerveira,1111610,1.47
Amares,1120301,1.86
Barcelos,1120302,0.27
Braga,1120303,1.66
Esposende,1120306,1.81
Terras de Bouro,1120310,0.34
Vila Verde,1120313,1.31
Cabeceiras de Basto,1190304,0.33
Fafe,1190307,0.34
Guimarães,1190308,0.19
Mondim de Basto,1191705,-0.06
Póvoa de Lanhoso,1190309,1.32
Vieira do Minho,1190311,0.72
Vila Nova de Famalicão,1190312,0.68
Vizela,1190314,0.95
Arouca,11A0104,-0.12
Espinho,11A0107,1.58
Gondomar,11A1304,0.79
Maia,11A1306,1.6
Matosinhos,11A1308,1.35
Oliveira de Azeméis,11A0113,0.61
Paredes,11A1310,0.74
Porto,11A1312,2.34
Póvoa de Varzim,11A1313,1.89
Santa Maria da Feira,11A0109,0.92
Santo Tirso,11A1314,0.18
São João da Madeira,11A0116,2.18
Trofa,11A1318,1.05
Vale de Cambra,11A0119,0.03
Valongo,11A1315,1.77
Vila do Conde,11A1316,1.59
Vila Nova de Gaia,11A1317,0.87
Boticas,11B1702,-0.29
Chaves,11B1703,0.25
Montalegre,11B1706,0.03
Ribeira de Pena,11B1709,0.43
Valpaços,11B1712,0.23
Vila Pouca de Aguiar,11B1713,0.16
Amarante,11C1301,0.31
Baião,11C1302,-0.45
Castelo de Paiva,11C0106,0.36
Celorico de Basto,11C0305,0.45
Cinfães,11C1804,-0.73
Felgueiras,11C1303,0.02
Lousada,11C1305,0.79
Marco de Canaveses,11C1307,0.23
Paços de Ferreira,11C1309,0.18
Penafiel,11C1311,0.46
Resende,11C1813,-1.0
Alijó,11D1701,-0.37
Armamar,11D1801,-0.76
Carrazeda de Ansiães,11D0403,-0.11
Freixo de Espada à Cinta,11D0404,-1.01
Lamego,11D1805,-0.14
Mesão Frio,11D1704,-0.83
Moimenta da Beira,11D1807,1.21
Murça,11D1707,0.63
Penedono,11D1812,0.46
Peso da Régua,11D1708,-0.17
Sabrosa,11D1710,0.64
Santa Marta de Penaguião,11D1711,-0.17
São João da Pesqueira,11D1815,-0.06
Sernancelhe,11D1818,0.95
Tabuaço,11D1819,0.18
Tarouca,11D1820,1.82
Torre de Moncorvo,11D0409,-0.09
Vila Nova de Foz Côa,11D0914,0.8
Vila Real,11D1714,0.53
Alfândega da Fé,11E0401,-0.54
Bragança,11E0402,1.1
Macedo de Cavaleiros,11E0405,0.54
Miranda do Douro,11E0406,-0.87
Mirandela,11E0407,0.32
Mogadouro,11E0408,-0.28
Vila Flor,11E0410,0.18
Vimioso,11E0411,0.7
Vinhais,11E0412,-0.84
Alcobaça,16B1001,1.79
Alenquer,16B1101,2.94
Arruda dos Vinhos,16B1102,2.72
Bombarral,16B1005,3.2
Cadaval,16B1104,2.58
Caldas da Rainha,16B1006,2.63
Lourinhã,16B1108,2.55
Nazaré,16B1011,2.23
Óbidos,16B1012,3.58
Peniche,16B1014,1.5
Sobral de Monte Agraço,16B1112,3.52
Torres Vedras,16B1113,2.2
Águeda,16D0101,1.19
Albergaria-a-Velha,16D0102,1.78
Anadia,16D0103,1.17
Aveiro,16D0105,2.63
Estarreja,16D0108,1.64
Ílhavo,16D0110,2.87
Murtosa,16D0112,2.88
Oliveira do Bairro,16D0114,3.27
Ovar,16D0115,1.51
Sever do Vouga,16D0117,0.27
Vagos,16D0118,3.01
Arganil,16E0601,1.53
Cantanhede,16E0602,1.36
Coimbra,16E0603,1.4
Condeixa-a-Nova,16E0604,2.02
Figueira da Foz,16E0605,1.41
Góis,16E0606,0.71
Lousã,16E0607,1.17
Mealhada,16E0111,0.83
Mira,16E0608,1.87
Miranda do Corvo,16E0609,0.71
Montemor-o-Velho,16E0610,0.68
Mortágua,16E1808,1.27
Oliveira do Hospital,16E0611,0.78
Pampilhosa da Serra,16E0612,1.56
Penacova,16E0613,0.24
Penela,16E0614,1.36
Soure,16E0615,0.52
Tábua,16E0616,1.67
Vila Nova de Poiares,16E0617,1.2
Alvaiázere,16F1002,1.03
Ansião,16F1003,1.36
Batalha,16F1004,2.64
Castanheira de Pêra,16F1007,1.04
Figueiró dos Vinhos,16F1008,1.09
Leiria,16F1009,1.78
Marinha Grande,16F1010,2.15
Pedrógão Grande,16F1013,2.85
Pombal,16F1015,1.3
Porto de Mós,16F1016,1.39
Aguiar da Beira,16G0901,0.34
Carregal do Sal,16G1802,1.08
Castro Daire,16G1803,0.8
Mangualde,16G1806,1.42
Nelas,16G1809,1.27
Oliveira de Frades,16G1810,1.44
Penalva do Castelo,16G1811,0.85
Santa Comba Dão,16G1814,1.11
São Pedro do Sul,16G1816,0.87
Sátão,16G1817,0.92
Tondela,16G1821,0.67
Vila Nova de Paiva,16G1822,1.33
Viseu,16G1823,1.59
Vouzela,16G1824,1.16
Castelo Branco,16H0502,0.78
Idanha-a-Nova,16H0505,1.02
Oleiros,16H0506,0.18
Penamacor,16H0507,1.03
Proença-a-Nova,16H0508,-0.17
Vila Velha de Ródão,16H0511,1.37
Abrantes,16I1401,-0.14
Alcanena,16I1402,1.07
Constância,16I1408,2.07
Entroncamento,16I1410,2.95
Ferreira do Zêzere,16I1411,1.52
Mação,16I1413,0.23
Ourém,16I1421,1.77
Sardoal,16I1417,1.5
Sertã,16I0509,0.23
Tomar,16I1418,1.1
Torres Novas,16I1419,0.92
Vila de Rei,16I0510,1.11
Vila Nova da Barquinha,16I1420,3.69
Almeida,16J0902,-0.37
Belmonte,16J0501,0.61
Celorico da Beira,16J0903,1.02
Covilhã,16J0503,0.64
Figueira de Castelo Rodrigo,16J0904,-0.42
Fornos de Algodres,16J0905,0.23
Fundão,16J0504,1.31
Gouveia,16J0906,0.88
Guarda,16J0907,0.3
Manteigas,16J0908,0.2
Mêda,16J0909,-0.09
Pinhel,16J0910,-0.61
Sabugal,16J0911,0.54
Seia,16J0912,0.0
Trancoso,16J0913,0.29
Alcochete,1701502,1.39
Almada,1701503,1.03
Amadora,1701115,1.78
Barreiro,1701504,1.21
Cascais,1701105,1.1
Lisboa,1701106,1.71
Loures,1701107,1.29
Mafra,1701109,0.87
Moita,1701506,1.61
Montijo,1701507,1.97
Odivelas,1701116,1.68
Oeiras,1701110,1.05
Palmela,1701508,1.78
Seixal,1701510,1.72
Sesimbra,1701511,1.62
Setúbal,1701512,0.23
Sintra,1701111,1.24
Vila Franca de Xira,1701114,0.71
Alcácer do Sal,1811501,0.23
Grândola,1811505,1.15
Odemira,1810211,3.66
Santiago do Cacém,1811509,0.43
Sines,1811513,0.86
Aljustrel,1840201,0.17
Almodôvar,1840202,0.07
Alvito,1840203,0.7
Barrancos,1840204,-1.87
Beja,1840205,0.66
Castro Verde,1840206,0.11
Cuba,1840207,0.52
Ferreira do Alentejo,1840208,0.61
Mértola,1840209,-0.68
Moura,1840210,-0.05
Ourique,1840212,0.21
Serpa,1840213,-0.1
Vidigueira,1840214,-0.23
Almeirim,1851403,1.01
Alpiarça,1851404,1.62
Azambuja,1851103,2.51
Benavente,1851405,2.28
Cartaxo,1851406,1.5
Chamusca,1851407,-0.34
Coruche,1851409,-0.05
Golegã,1851412,0.46
Rio Maior,1851414,1.64
Salvaterra de Magos,1851415,2.05
Santarém,1851416,1.11
Alter do Chão,1861201,0.5
Arronches,1861202,-0.29
Avis,1861203,0.47
Campo Maior,1861204,-0.5
Castelo de Vide,1861205,-0.41
Crato,1861206,0.4
Elvas,1861207,-0.2
Fronteira,1861208,1.12
Gavião,1861209,-1.11
Marvão,1861210,-0.43
Monforte,1861211,0.9
Nisa,1861212,-0.68
Ponte de Sor,1861213,-0.06
Portalegre,1861214,-0.63
Sousel,1861215,0.16
Alandroal,1870701,-0.26
Arraiolos,1870702,0.5
Borba,1870703,-0.08
Estremoz,1870704,-0.61
Évora,1870705,0.28
Montemor-o-Novo,1870706,0.35
Mora,1870707,-0.53
Mourão,1870708,1.16
Portel,1870709,0.02
Redondo,1870710,0.41
Reguengos de Monsaraz,1870711,0.41
Vendas Novas,1870712,0.75
Viana do Alentejo,1870713,0.71
Vila Viçosa,1870714,-0.3
Albufeira,1500801,2.15
Alcoutim,1500802,-1.85
Aljezur,1500803,1.65
Castro Marim,1500804,1.61
Faro,1500805,0.79
Lagoa,1500806,1.67
Lagos,1500807,1.18
Loulé,1500808,1.11
Monchique,1500809,-0.75
Olhão,1500810,0.5
Portimão,1500811,1.44
São Brás de Alportel,1500812,0.93
Silves,1500813,1.38
Tavira,1500814,0.68
Vila do Bispo,1500815,0.98
Vila Real de Santo António,1500816,0.83
Angra do Heroísmo,2004301,-0.37
Calheta,2004501,-0.57
Corvo,2004901,0.23
Horta,2004701,0.21
Lagoa,2004201,1.32
Lajes das Flores,2004801,0.49
Lajes do Pico,2004601,0.41
Madalena,2004602,0.74
Nordeste,2004202,-0.05
Ponta Delgada,2004203,0.55
Povoação,2004204,-0.26
Ribeira Grande,2004205,0.74
Santa Cruz da Graciosa,2004401,-0.29
Santa Cruz das Flores,2004802,1.39
São Roque do Pico,2004603,1.57
Velas,2004502,0.02
Vila da Praia da Vitória,2004302,0.37
Vila do Porto,2004101,-0.13
Vila Franca do Campo,2004206,0.1
Calheta,3003101,1.69
Câmara de Lobos,3003102,1.12
Funchal,3003103,0.52
Machico,3003104,0.23
Ponta do Sol,3003105,1.98
Porto Moniz,3003106,1.11
Porto Santo,3003201,3.7
Ribeira Brava,3003107,1.67
Santa Cruz,3003108,1.47
Santana,3003109,0.48
São Vicente,3003110,2.13
