local,codigo,Beneficiários_RSI_1000_habitantes
Arcos de Valdevez,1111601,9.37
Caminha,1111602,16.61
Melgaço,1111603,9.05
Monção,1111604,8.81
Paredes de Coura,1111605,9.56
Ponte da Barca,1111606,11.5
Ponte de Lima,1111607,8.19
Valença,1111608,22.63
Viana do Castelo,1111609,17.95
Vila Nova de Cerveira,1111610,12.68
Amares,1120301,12.96
Barcelos,1120302,5.53
Braga,1120303,14.02
Esposende,1120306,9.71
Terras de Bouro,1120310,9.26
Vila Verde,1120313,7.98
Cabeceiras de Basto,1190304,24.91
Fafe,1190307,13.22
Guimarães,1190308,9.81
Mondim de Basto,1191705,33.19
Póvoa de Lanhoso,1190309,10.41
Vieira do Minho,1190311,19.21
Vila Nova de Famalicão,1190312,13.33
Vizela,1190314,6.7
Arouca,11A0104,13.03
Espinho,11A0107,34.39
Gondomar,11A1304,40.85
Maia,11A1306,29.6
Matosinhos,11A1308,36.84
Oliveira de Azeméis,11A0113,9.99
Paredes,11A1310,31.61
Porto,11A1312,70.26
Póvoa de Varzim,11A1313,23.27
Santa Maria da Feira,11A0109,18.86
Santo Tirso,11A1314,21.92
São João da Madeira,11A0116,21.36
Trofa,11A1318,19.95
Vale de Cambra,11A0119,9.96
Valongo,11A1315,39.95
Vila do Conde,11A1316,15.68
Vila Nova de Gaia,11A1317,48.3
Boticas,11B1702,18.27
Chaves,11B1703,37.26
Montalegre,11B1706,27.58
Ribeira de Pena,11B1709,41.37
Valpaços,11B1712,43.47
Vila Pouca de Aguiar,11B1713,31.21
Amarante,11C1301,36.81
Baião,11C1302,45.99
Castelo de Paiva,11C0106,19.99
Celorico de Basto,11C0305,27.07
Cinfães,11C1804,43.31
Felgueiras,11C1303,18.21
Lousada,11C1305,17.99
Marco de Canaveses,11C1307,43.65
Paços de Ferreira,11C1309,27.09
Penafiel,11C1311,28.82
Resende,11C1813,60.75
Alijó,11D1701,38.86
Armamar,11D1801,33.32
Carrazeda de Ansiães,11D0403,31.24
Freixo de Espada à Cinta,11D0404,51.9
Lamego,11D1805,35.23
Mesão Frio,11D1704,50.04
Moimenta da Beira,11D1807,68.83
Murça,11D1707,70.89
Penedono,11D1812,37.07
Peso da Régua,11D1708,70.81
Sabrosa,11D1710,37.33
Santa Marta de Penaguião,11D1711,68.62
São João da Pesqueira,11D1815,13.95
Sernancelhe,11D1818,27.83
Tabuaço,11D1819,54.44
Tarouca,11D1820,36.24
Torre de Moncorvo,11D0409,22.09
Vila Nova de Foz Côa,11D0914,21.75
Vila Real,11D1714,34.74
Alfândega da Fé,11E0401,44.43
Bragança,11E0402,19.8
Macedo de Cavaleiros,11E0405,36.6
Miranda do Douro,11E0406,21.47
Mirandela,11E0407,30.44
Mogadouro,11E0408,36.75
Vila Flor,11E0410,20.19
Vimioso,11E0411,20.38
Vinhais,11E0412,37.36
Alcobaça,16B1001,14.7
Alenquer,16B1101,15.99
Arruda dos Vinhos,16B1102,12.53
Bombarral,16B1005,14.29
Cadaval,16B1104,14.73
Caldas da Rainha,16B1006,14.63
Lourinhã,16B1108,21.03
Nazaré,16B1011,13.14
Óbidos,16B1012,8.25
Peniche,16B1014,19.89
Sobral de Monte Agraço,16B1112,10.94
Torres Vedras,16B1113,14.72
Águeda,16D0101,16.23
Albergaria-a-Velha,16D0102,20.59
Anadia,16D0103,10.63
Aveiro,16D0105,20.87
Estarreja,16D0108,34.17
Ílhavo,16D0110,23.61
Murtosa,16D0112,10.6
Oliveira do Bairro,16D0114,20.83
Ovar,16D0115,25.41
Sever do Vouga,16D0117,10.58
Vagos,16D0118,16.62
Arganil,16E0601,16.21
Cantanhede,16E0602,15.99
Coimbra,16E0603,27.32
Condeixa-a-Nova,16E0604,10.16
Figueira da Foz,16E0605,33.96
Góis,16E0606,25.92
Lousã,16E0607,25.4
Mealhada,16E0111,11.65
Mira,16E0608,13.6
Miranda do Corvo,16E0609,16.23
Montemor-o-Velho,16E0610,11.0
Mortágua,16E1808,12.1
Oliveira do Hospital,16E0611,17.39
Pampilhosa da Serra,16E0612,24.25
Penacova,16E0613,13.69
Penela,16E0614,11.78
Soure,16E0615,11.57
Tábua,16E0616,23.54
Vila Nova de Poiares,16E0617,18.47
Alvaiázere,16F1002,19.92
Ansião,16F1003,21.44
Batalha,16F1004,13.89
Castanheira de Pêra,16F1007,25.67
Figueiró dos Vinhos,16F1008,27.11
Leiria,16F1009,17.25
Marinha Grande,16F1010,26.55
Pedrógão Grande,16F1013,37.5
Pombal,16F1015,18.64
Porto de Mós,16F1016,14.66
Aguiar da Beira,16G0901,19.74
Carregal do Sal,16G1802,21.95
Castro Daire,16G1803,30.37
Mangualde,16G1806,30.35
Nelas,16G1809,20.74
Oliveira de Frades,16G1810,6.4
Penalva do Castelo,16G1811,21.89
Santa Comba Dão,16G1814,21.0
São Pedro do Sul,16G1816,18.3
Sátão,16G1817,30.31
Tondela,16G1821,13.68
Vila Nova de Paiva,16G1822,25.53
Viseu,16G1823,30.09
Vouzela,16G1824,7.94
Castelo Branco,16H0502,27.36
Idanha-a-Nova,16H0505,59.08
Oleiros,16H0506,11.94
Penamacor,16H0507,30.92
Proença-a-Nova,16H0508,16.89
Vila Velha de Ródão,16H0511,23.69
Abrantes,16I1401,32.44
Alcanena,16I1402,15.68
Constância,16I1408,28.19
Entroncamento,16I1410,29.54
Ferreira do Zêzere,16I1411,15.82
Mação,16I1413,16.41
Ourém,16I1421,12.16
Sardoal,16I1417,29.05
Sertã,16I0509,20.42
Tomar,16I1418,25.14
Torres Novas,16I1419,16.41
Vila de Rei,16I0510,13.67
Vila Nova da Barquinha,16I1420,25.96
Almeida,16J0902,23.83
Belmonte,16J0501,36.23
Celorico da Beira,16J0903,28.84
Covilhã,16J0503,27.39
Figueira de Castelo Rodrigo,16J0904,63.28
Fornos de Algodres,16J0905,24.83
Fundão,16J0504,35.63
Gouveia,16J0906,31.42
Guarda,16J0907,30.6
Manteigas,16J0908,24.88
Mêda,16J0909,22.36
Pinhel,16J0910,20.12
Sabugal,16J0911,25.65
Seia,16J0912,31.29
Trancoso,16J0913,14.59
Alcochete,1701502,19.01
Almada,1701503,42.38
Amadora,1701115,32.44
Barreiro,1701504,43.69
Cascais,1701105,24.04
Lisboa,1701106,43.57
Loures,1701107,30.85
Mafra,1701109,11.9
Moita,1701506,52.05
Montijo,1701507,38.63
Odivelas,1701116,25.79
Oeiras,1701110,13.45
Palmela,1701508,15.15
Seixal,1701510,30.36
Sesimbra,1701511,27.51
Setúbal,1701512,35.34
Sintra,1701111,20.66
Vila Franca de Xira,1701114,21.45
Alcácer do Sal,1811501,14.11
Grândola,1811505,20.51
Odemira,1810211,15.43
Santiago do Cacém,1811509,11.61
Sines,1811513,30.16
Aljustrel,1840201,47.65
Almodôvar,1840202,19.43
Alvito,1840203,32.66
Barrancos,1840204,52.61
Beja,1840205,53.92
Castro Verde,1840206,20.98
Cuba,1840207,56.23
Ferreira do Alentejo,1840208,27.37
Mértola,1840209,27.65
Moura,1840210,132.55
Ourique,1840212,16.4
Serpa,1840213,61.26
Vidigueira,1840214,68.43
Almeirim,1851403,21.42
Alpiarça,1851404,12.63
Azambuja,1851103,26.44
Benavente,1851405,27.78
Cartaxo,1851406,11.05
Chamusca,1851407,20.56
Coruche,1851409,33.04
Golegã,1851412,18.86
Rio Maior,1851414,18.26
Salvaterra de Magos,1851415,19.41
Santarém,1851416,25.69
Alter do Chão,1861201,51.18
Arronches,1861202,11.74
Avis,1861203,65.48
Campo Maior,1861204,56.23
Castelo de Vide,1861205,14.47
Crato,1861206,47.41
Elvas,1861207,70.87
Fronteira,1861208,10.97
Gavião,1861209,23.32
Marvão,1861210,23.93
Monforte,1861211,127.62
Nisa,1861212,29.56
Ponte de Sor,1861213,25.02
Portalegre,1861214,20.98
Sousel,1861215,38.56
Alandroal,1870701,12.86
Arraiolos,1870702,6.9
Borba,1870703,47.65
Estremoz,1870704,42.04
Évora,1870705,24.13
Montemor-o-Novo,1870706,10.66
Mora,1870707,13.61
Mourão,1870708,144.74
Portel,1870709,28.41
Redondo,1870710,32.09
Reguengos de Monsaraz,1870711,53.9
Vendas Novas,1870712,19.0
Viana do Alentejo,1870713,28.96
Vila Viçosa,1870714,16.7
Albufeira,1500801,36.27
Alcoutim,1500802,7.74
Aljezur,1500803,23.69
Castro Marim,1500804,30.19
Faro,1500805,33.43
Lagoa,1500806,33.96
Lagos,1500807,24.28
Loulé,1500808,28.49
Monchique,1500809,14.28
Olhão,1500810,29.54
Portimão,1500811,45.42
São Brás de Alportel,1500812,21.32
Silves,1500813,20.53
Tavira,1500814,16.56
Vila do Bispo,1500815,13.87
Vila Real de Santo António,1500816,33.35
Angra do Heroísmo,2004301,39.71
Calheta,2004501,12.98
Corvo,2004901,29.89
Horta,2004701,17.12
Lagoa,2004201,90.1
Lajes das Flores,2004801,12.62
Lajes do Pico,2004601,11.94
Madalena,2004602,17.12
Nordeste,2004202,92.54
Ponta Delgada,2004203,85.0
Povoação,2004204,84.44
Ribeira Grande,2004205,157.1
Santa Cruz da Graciosa,2004401,58.71
Santa Cruz das Flores,2004802,17.77
São Roque do Pico,2004603,13.1
Velas,2004502,10.64
Vila da Praia da Vitória,2004302,47.74
Vila do Porto,2004101,33.67
Vila Franca do Campo,2004206,63.05
Calheta,3003101,36.52
Câmara de Lobos,3003102,27.49
Funchal,3003103,34.95
Machico,3003104,27.39
Ponta do Sol,3003105,26.97
Porto Moniz,3003106,19.82
Porto Santo,3003201,11.37
Ribeira Brava,3003107,23.84
Santa Cruz,3003108,20.58
Santana,3003109,41.08
São Vicente,3003110,21.51
