local,codigo,Duracao_Sub_desemprego
Arcos de Valdevez,1111601,150.0
Caminha,1111602,163.0
Melgaço,1111603,206.0
Monção,1111604,171.0
Paredes de Coura,1111605,159.0
Ponte da Barca,1111606,138.0
Ponte de Lima,1111607,169.0
Valença,1111608,154.0
Viana do Castelo,1111609,144.0
Vila Nova de Cerveira,1111610,170.0
Amares,1120301,173.0
Barcelos,1120302,179.0
Braga,1120303,177.0
Esposende,1120306,166.0
Terras de Bouro,1120310,159.0
Vila Verde,1120313,185.0
Cabeceiras de Basto,1190304,174.0
Fafe,1190307,183.0
Guimarães,1190308,188.0
Mondim de Basto,1191705,207.0
Póvoa de Lanhoso,1190309,182.0
Vieira do Minho,1190311,180.0
Vila Nova de Famalicão,1190312,181.0
Vizela,1190314,191.0
Arouca,11A0104,179.0
Espinho,11A0107,188.0
Gondomar,11A1304,180.0
Maia,11A1306,174.0
Matosinhos,11A1308,178.0
Oliveira de Azeméis,11A0113,170.0
Paredes,11A1310,182.0
Porto,11A1312,176.0
Póvoa de Varzim,11A1313,170.0
Santa Maria da Feira,11A0109,172.0
Santo Tirso,11A1314,190.0
São João da Madeira,11A0116,170.0
Trofa,11A1318,177.0
Vale de Cambra,11A0119,169.0
Valongo,11A1315,177.0
Vila do Conde,11A1316,172.0
Vila Nova de Gaia,11A1317,182.0
Boticas,11B1702,177.0
Chaves,11B1703,187.0
Montalegre,11B1706,189.0
Ribeira de Pena,11B1709,178.0
Valpaços,11B1712,183.0
Vila Pouca de Aguiar,11B1713,200.0
Amarante,11C1301,174.0
Baião,11C1302,182.0
Castelo de Paiva,11C0106,180.0
Celorico de Basto,11C0305,189.0
Cinfães,11C1804,182.0
Felgueiras,11C1303,172.0
Lousada,11C1305,166.0
Marco de Canaveses,11C1307,191.0
Paços de Ferreira,11C1309,181.0
Penafiel,11C1311,181.0
Resende,11C1813,216.0
Alijó,11D1701,192.0
Armamar,11D1801,195.0
Carrazeda de Ansiães,11D0403,200.0
Freixo de Espada à Cinta,11D0404,193.0
Lamego,11D1805,179.0
Mesão Frio,11D1704,206.0
Moimenta da Beira,11D1807,199.0
Murça,11D1707,210.0
Penedono,11D1812,176.0
Peso da Régua,11D1708,192.0
Sabrosa,11D1710,176.0
Santa Marta de Penaguião,11D1711,183.0
São João da Pesqueira,11D1815,182.0
Sernancelhe,11D1818,189.0
Tabuaço,11D1819,196.0
Tarouca,11D1820,186.0
Torre de Moncorvo,11D0409,188.0
Vila Nova de Foz Côa,11D0914,168.0
Vila Real,11D1714,183.0
Alfândega da Fé,11E0401,179.0
Bragança,11E0402,168.0
Macedo de Cavaleiros,11E0405,180.0
Miranda do Douro,11E0406,213.0
Mirandela,11E0407,172.0
Mogadouro,11E0408,174.0
Vila Flor,11E0410,194.0
Vimioso,11E0411,198.0
Vinhais,11E0412,183.0
Águeda,1910101,158.0
Albergaria-a-Velha,1910102,167.0
Anadia,1910103,172.0
Aveiro,1910105,160.0
Estarreja,1910108,170.0
Ílhavo,1910110,158.0
Murtosa,1910112,162.0
Oliveira do Bairro,1910114,151.0
Ovar,1910115,177.0
Sever do Vouga,1910117,172.0
Vagos,1910118,167.0
Arganil,1920601,180.0
Cantanhede,1920602,161.0
Coimbra,1920603,164.0
Condeixa-a-Nova,1920604,157.0
Figueira da Foz,1920605,156.0
Góis,1920606,204.0
Lousã,1920607,162.0
Mealhada,1920111,169.0
Mira,1920608,152.0
Miranda do Corvo,1920609,159.0
Montemor-o-Velho,1920610,158.0
Mortágua,1921808,151.0
Oliveira do Hospital,1920611,177.0
Pampilhosa da Serra,1920612,182.0
Penacova,1920613,171.0
Penela,1920614,174.0
Soure,1920615,186.0
Tábua,1920616,186.0
Vila Nova de Poiares,1920617,189.0
Alvaiázere,1931002,154.0
Ansião,1931003,188.0
Batalha,1931004,158.0
Castanheira de Pêra,1931007,171.0
Figueiró dos Vinhos,1931008,179.0
Leiria,1931009,161.0
Marinha Grande,1931010,158.0
Pedrógão Grande,1931013,190.0
Pombal,1931015,164.0
Porto de Mós,1931016,168.0
Aguiar da Beira,1940901,184.0
Carregal do Sal,1941802,155.0
Castro Daire,1941803,172.0
Mangualde,1941806,186.0
Nelas,1941809,156.0
Oliveira de Frades,1941810,166.0
Penalva do Castelo,1941811,185.0
Santa Comba Dão,1941814,169.0
São Pedro do Sul,1941816,156.0
Sátão,1941817,184.0
Tondela,1941821,162.0
Vila Nova de Paiva,1941822,153.0
Viseu,1941823,164.0
Vouzela,1941824,177.0
Castelo Branco,1950502,175.0
Idanha-a-Nova,1950505,187.0
Oleiros,1950506,184.0
Penamacor,1950507,206.0
Proença-a-Nova,1950508,159.0
Sertã,1950509,170.0
Vila de Rei,1950510,183.0
Vila Velha de Ródão,1950511,162.0
Almeida,1960902,173.0
Belmonte,1960501,189.0
Celorico da Beira,1960903,175.0
Covilhã,1960503,173.0
Figueira de Castelo Rodrigo,1960904,171.0
Fornos de Algodres,1960905,176.0
Fundão,1960504,179.0
Gouveia,1960906,178.0
Guarda,1960907,152.0
Manteigas,1960908,170.0
Mêda,1960909,151.0
Pinhel,1960910,149.0
Sabugal,1960911,176.0
Seia,1960912,176.0
Trancoso,1960913,162.0
Alcobaça,1D11001,176.0
Alenquer,1D11101,175.0
Arruda dos Vinhos,1D11102,183.0
Bombarral,1D11005,166.0
Cadaval,1D11104,158.0
Caldas da Rainha,1D11006,160.0
Lourinhã,1D11108,159.0
Nazaré,1D11011,173.0
Óbidos,1D11012,158.0
Peniche,1D11014,150.0
Sobral de Monte Agraço,1D11112,186.0
Torres Vedras,1D11113,177.0
Abrantes,1D21401,160.0
Alcanena,1D21402,173.0
Constância,1D21408,162.0
Entroncamento,1D21410,161.0
Ferreira do Zêzere,1D21411,155.0
Mação,1D21413,176.0
Ourém,1D21421,147.0
Sardoal,1D21417,198.0
Tomar,1D21418,170.0
Torres Novas,1D21419,154.0
Vila Nova da Barquinha,1D21420,157.0
Almeirim,1D31403,143.0
Alpiarça,1D31404,146.0
Azambuja,1D31103,168.0
Benavente,1D31405,161.0
Cartaxo,1D31406,171.0
Chamusca,1D31407,155.0
Coruche,1D31409,162.0
Golegã,1D31412,168.0
Rio Maior,1D31414,165.0
Salvaterra de Magos,1D31415,161.0
Santarém,1D31416,161.0
Amadora,1A01115,181.0
Cascais,1A01105,196.0
Lisboa,1A01106,190.0
Loures,1A01107,190.0
Mafra,1A01109,186.0
Odivelas,1A01116,181.0
Oeiras,1A01110,193.0
Sintra,1A01111,182.0
Vila Franca de Xira,1A01114,184.0
Alcochete,1B01502,183.0
Almada,1B01503,190.0
Barreiro,1B01504,176.0
Moita,1B01506,177.0
Montijo,1B01507,173.0
Palmela,1B01508,175.0
Seixal,1B01510,176.0
Sesimbra,1B01511,179.0
Setúbal,1B01512,171.0
Alcácer do Sal,1C11501,154.0
Grândola,1C11505,161.0
Odemira,1C10211,133.0
Santiago do Cacém,1C11509,150.0
Sines,1C11513,121.0
Aljustrel,1C20201,185.0
Almodôvar,1C20202,176.0
Alvito,1C20203,220.0
Barrancos,1C20204,189.0
Beja,1C20205,158.0
Castro Verde,1C20206,166.0
Cuba,1C20207,188.0
Ferreira do Alentejo,1C20208,144.0
Mértola,1C20209,187.0
Moura,1C20210,166.0
Ourique,1C20212,196.0
Serpa,1C20213,166.0
Vidigueira,1C20214,156.0
Alter do Chão,1C31201,160.0
Arronches,1C31202,195.0
Avis,1C31203,167.0
Campo Maior,1C31204,190.0
Castelo de Vide,1C31205,204.0
Crato,1C31206,184.0
Elvas,1C31207,173.0
Fronteira,1C31208,177.0
Gavião,1C31209,194.0
Marvão,1C31210,195.0
Monforte,1C31211,188.0
Nisa,1C31212,168.0
Ponte de Sor,1C31213,150.0
Portalegre,1C31214,172.0
Sousel,1C31215,149.0
Alandroal,1C40701,157.0
Arraiolos,1C40702,171.0
Borba,1C40703,146.0
Estremoz,1C40704,158.0
Évora,1C40705,163.0
Montemor-o-Novo,1C40706,159.0
Mora,1C40707,138.0
Mourão,1C40708,183.0
Portel,1C40709,167.0
Redondo,1C40710,170.0
Reguengos de Monsaraz,1C40711,168.0
Vendas Novas,1C40712,132.0
Viana do Alentejo,1C40713,150.0
Vila Viçosa,1C40714,154.0
Albufeira,1500801,111.0
Alcoutim,1500802,138.0
Aljezur,1500803,138.0
Castro Marim,1500804,129.0
Faro,1500805,149.0
Lagoa,1500806,126.0
Lagos,1500807,133.0
Loulé,1500808,125.0
Monchique,1500809,174.0
Olhão,1500810,156.0
Portimão,1500811,130.0
São Brás de Alportel,1500812,171.0
Silves,1500813,132.0
Tavira,1500814,131.0
Vila do Bispo,1500815,113.0
Vila Real de Santo António,1500816,140.0
Angra do Heroísmo,2004301,179.0
Calheta (R.A.A.),2004501,198.0
Corvo,2004901,164.0
Horta,2004701,171.0
Lagoa (R.A.A.),2004201,197.0
Lajes das Flores,2004801,190.0
Lajes do Pico,2004601,170.0
Madalena,2004602,172.0
Nordeste,2004202,223.0
Ponta Delgada,2004203,175.0
Povoação,2004204,217.0
Ribeira Grande,2004205,178.0
Santa Cruz da Graciosa,2004401,199.0
Santa Cruz das Flores,2004802,184.0
São Roque do Pico,2004603,190.0
Velas,2004502,183.0
Vila da Praia da Vitória,2004302,178.0
Vila do Porto,2004101,186.0
Vila Franca do Campo,2004206,178.0
Calheta (R.A.M.),3003101,186.0
Câmara de Lobos,3003102,169.0
Funchal,3003103,181.0
Machico,3003104,174.0
Ponta do Sol,3003105,178.0
Porto Moniz,3003106,212.0
Ribeira Brava,3003107,164.0
Santa Cruz,3003108,180.0
Santana,3003109,169.0
São Vicente,3003110,176.0
Porto Santo,3003201,158.0
