local,codigo,Edifícios concluídos
0,0,Total
Portugal,PT,17832
Continente,1,16619
Norte,11,6592
Alto Minho,111,637
Arcos de Valdevez,1111601,100
Caminha,1111602,33
Melgaço,1111603,12
Monção,1111604,74
Paredes de Coura,1111605,16
Ponte da Barca,1111606,55
Ponte de Lima,1111607,135
Valença,1111608,62
Viana do Castelo,1111609,110
Vila Nova de Cerveira,1111610,40
Cávado,112,1014
Amares,1120301,67
Barcelos,1120302,248
Braga,1120303,425
Esposende,1120306,139
Terras de Bouro,1120310,4
Vila Verde,1120313,131
Ave,119,924
Cabeceiras de Basto,1190304,107
Fafe,1190307,84
Guimarães,1190308,279
Mondim de Basto,1191705,32
Póvoa de Lanhoso,1190309,10
Vieira do Minho,1190311,38
Vila Nova de Famalicão,1190312,310
Vizela,1190314,64
Área Metropolitana do Porto,11A,2305
Arouca,11A0104,77
Espinho,11A0107,53
Gondomar,11A1304,90
Maia,11A1306,111
Matosinhos,11A1308,149
Oliveira de Azeméis,11A0113,74
Paredes,11A1310,217
Porto,11A1312,358
Póvoa de Varzim,11A1313,76
Santa Maria da Feira,11A0109,165
Santo Tirso,11A1314,114
São João da Madeira,11A0116,14
Trofa,11A1318,46
Vale de Cambra,11A0119,55
Valongo,11A1315,93
Vila do Conde,11A1316,222
Vila Nova de Gaia,11A1317,391
Alto Tâmega,11B,178
Boticas,11B1702,2
Chaves,11B1703,66
Montalegre,11B1706,19
Ribeira de Pena,11B1709,14
Valpaços,11B1712,35
Vila Pouca de Aguiar,11B1713,42
Tâmega e Sousa,11C,901
Amarante,11C1301,69
Baião,11C1302,36
Castelo de Paiva,11C0106,46
Celorico de Basto,11C0305,92
Cinfães,11C1804,18
Felgueiras,11C1303,89
Lousada,11C1305,119
Marco de Canaveses,11C1307,49
Paços de Ferreira,11C1309,143
Penafiel,11C1311,228
Resende,11C1813,12
Douro,11D,393
Alijó,11D1701,21
Armamar,11D1801,10
Carrazeda de Ansiães,11D0403,22
Freixo de Espada à Cinta,11D0404,3
Lamego,11D1805,55
Mesão Frio,11D1704,3
Moimenta da Beira,11D1807,37
Murça,11D1707,14
Penedono,11D1812,12
Peso da Régua,11D1708,22
Sabrosa,11D1710,17
Santa Marta de Penaguião,11D1711,1
São João da Pesqueira,11D1815,26
Sernancelhe,11D1818,32
Tabuaço,11D1819,3
Tarouca,11D1820,35
Torre de Moncorvo,11D0409,6
Vila Nova de Foz Côa,11D0914,24
Vila Real,11D1714,50
Terras de Trás-os-Montes,11E,240
Alfândega da Fé,11E0401,10
Bragança,11E0402,72
Macedo de Cavaleiros,11E0405,35
Miranda do Douro,11E0406,29
Mirandela,11E0407,56
Mogadouro,11E0408,10
Vila Flor,11E0410,9
Vimioso,11E0411,7
Vinhais,11E0412,12
Centro,16,4822
Oeste,16B,942
Alcobaça,16B1001,153
Alenquer,16B1101,57
Arruda dos Vinhos,16B1102,37
Bombarral,16B1005,43
Cadaval,16B1104,76
Caldas da Rainha,16B1006,154
Lourinhã,16B1108,89
Nazaré,16B1011,29
Óbidos,16B1012,29
Peniche,16B1014,59
Sobral de Monte Agraço,16B1112,26
Torres Vedras,16B1113,190
Região de Aveiro,16D,820
Águeda,16D0101,65
Albergaria-a-Velha,16D0102,48
Anadia,16D0103,41
Aveiro,16D0105,178
Estarreja,16D0108,48
Ílhavo,16D0110,137
Murtosa,16D0112,108
Oliveira do Bairro,16D0114,62
Ovar,16D0115,59
Sever do Vouga,16D0117,30
Vagos,16D0118,44
Região de Coimbra,16E,822
Arganil,16E0601,18
Cantanhede,16E0602,141
Coimbra,16E0603,157
Condeixa-a-Nova,16E0604,44
Figueira da Foz,16E0605,110
Góis,16E0606,3
Lousã,16E0607,28
Mealhada,16E0111,78
Mira,16E0608,39
Miranda do Corvo,16E0609,28
Montemor-o-Velho,16E0610,20
Mortágua,16E1808,63
Oliveira do Hospital,16E0611,21
Pampilhosa da Serra,16E0612,9
Penacova,16E0613,22
Penela,16E0614,10
Soure,16E0615,13
Tábua,16E0616,10
Vila Nova de Poiares,16E0617,8
Região de Leiria,16F,763
Alvaiázere,16F1002,26
Ansião,16F1003,26
Batalha,16F1004,78
Castanheira de Pêra,16F1007,6
Figueiró dos Vinhos,16F1008,5
Leiria,16F1009,420
Marinha Grande,16F1010,35
Pedrógão Grande,16F1013,10
Pombal,16F1015,83
Porto de Mós,16F1016,74
Viseu Dão Lafões,16G,576
Aguiar da Beira,16G0901,18
Carregal do Sal,16G1802,50
Castro Daire,16G1803,41
Mangualde,16G1806,57
Nelas,16G1809,70
Oliveira de Frades,16G1810,46
Penalva do Castelo,16G1811,29
Santa Comba Dão,16G1814,21
São Pedro do Sul,16G1816,17
Sátão,16G1817,24
Tondela,16G1821,26
Vila Nova de Paiva,16G1822,19
Viseu,16G1823,124
Vouzela,16G1824,34
Beira Baixa,16H,173
Castelo Branco,16H0502,76
Idanha-a-Nova,16H0505,57
Oleiros,16H0506,9
Penamacor,16H0507,2
Proença-a-Nova,16H0508,8
Vila Velha de Ródão,16H0511,21
Médio Tejo,16I,400
Abrantes,16I1401,55
Alcanena,16I1402,16
Constância,16I1408,19
Entroncamento,16I1410,25
Ferreira do Zêzere,16I1411,12
Mação,16I1413,25
Ourém,16I1421,52
Sardoal,16I1417,8
Sertã,16I0509,11
Tomar,16I1418,29
Torres Novas,16I1419,84
Vila de Rei,16I0510,27
Vila Nova da Barquinha,16I1420,37
Beiras e Serra da Estrela,16J,326
Almeida,16J0902,20
Belmonte,16J0501,6
Celorico da Beira,16J0903,14
Covilhã,16J0503,33
Figueira de Castelo Rodrigo,16J0904,15
Fornos de Algodres,16J0905,10
Fundão,16J0504,69
Gouveia,16J0906,24
Guarda,16J0907,2
Manteigas,16J0908,8
Mêda,16J0909,17
Pinhel,16J0910,24
Sabugal,16J0911,7
Seia,16J0912,48
Trancoso,16J0913,29
Área Metropolitana de Lisboa,17,3070
Área Metropolitana de Lisboa,170,3070
Alcochete,1701502,63
Almada,1701503,206
Amadora,1701115,15
Barreiro,1701504,38
Cascais,1701105,219
Lisboa,1701106,163
Loures,1701107,170
Mafra,1701109,383
Moita,1701506,55
Montijo,1701507,130
Odivelas,1701116,195
Oeiras,1701110,99
Palmela,1701508,117
Seixal,1701510,422
Sesimbra,1701511,82
Setúbal,1701512,268
Sintra,1701111,368
Vila Franca de Xira,1701114,77
Alentejo,18,1389
Alentejo Litoral,181,217
Alcácer do Sal,1811501,31
Grândola,1811505,65
Odemira,1810211,36
Santiago do Cacém,1811509,50
Sines,1811513,35
Baixo Alentejo,184,181
Aljustrel,1840201,15
Almodôvar,1840202,10
Alvito,1840203,3
Barrancos,1840204,2
Beja,1840205,17
Castro Verde,1840206,26
Cuba,1840207,15
Ferreira do Alentejo,1840208,14
Mértola,1840209,21
Moura,1840210,16
Ourique,1840212,4
Serpa,1840213,23
Vidigueira,1840214,15
Lezíria do Tejo,185,524
Almeirim,1851403,38
Alpiarça,1851404,9
Azambuja,1851103,17
Benavente,1851405,52
Cartaxo,1851406,55
Chamusca,1851407,7
Coruche,1851409,36
Golegã,1851412,13
Rio Maior,1851414,119
Salvaterra de Magos,1851415,89
Santarém,1851416,89
Alto Alentejo,186,181
Alter do Chão,1861201,11
Arronches,1861202,2
Avis,1861203,6
Campo Maior,1861204,10
Castelo de Vide,1861205,18
Crato,1861206,6
Elvas,1861207,46
Fronteira,1861208,4
Gavião,1861209,7
Marvão,1861210,3
Monforte,1861211,3
Nisa,1861212,12
Ponte de Sor,1861213,30
Portalegre,1861214,20
Sousel,1861215,3
Alentejo Central,187,286
Alandroal,1870701,15
Arraiolos,1870702,19
Borba,1870703,19
Estremoz,1870704,25
Évora,1870705,80
Montemor-o-Novo,1870706,25
Mora,1870707,12
Mourão,1870708,13
Portel,1870709,22
Redondo,1870710,7
Reguengos de Monsaraz,1870711,9
Vendas Novas,1870712,15
Viana do Alentejo,1870713,12
Vila Viçosa,1870714,13
Algarve,15,746
Algarve,150,746
Albufeira,1500801,68
Alcoutim,1500802,17
Aljezur,1500803,13
Castro Marim,1500804,29
Faro,1500805,6
Lagoa,1500806,41
Lagos,1500807,79
Loulé,1500808,63
Monchique,1500809,9
Olhão,1500810,90
Portimão,1500811,35
São Brás de Alportel,1500812,26
Silves,1500813,105
Tavira,1500814,64
Vila do Bispo,1500815,46
Vila Real de Santo António,1500816,55
Região Autónoma dos Açores,2,741
Região Autónoma dos Açores,20,741
Região Autónoma dos Açores,200,741
Angra do Heroísmo,2004301,30
Calheta,2004501,3
Corvo,2004901,0
Horta,2004701,33
Lagoa,2004201,94
Lajes das Flores,2004801,6
Lajes do Pico,2004601,10
Madalena,2004602,69
Nordeste,2004202,24
Ponta Delgada,2004203,181
Povoação,2004204,13
Ribeira Grande,2004205,110
Santa Cruz da Graciosa,2004401,12
Santa Cruz das Flores,2004802,10
São Roque do Pico,2004603,22
Velas,2004502,20
Vila da Praia da Vitória,2004302,55
Vila do Porto,2004101,21
Vila Franca do Campo,2004206,28
Região Autónoma da Madeira,3,472
Região Autónoma da Madeira,30,472
Região Autónoma da Madeira,300,472
Calheta,3003101,37
Câmara de Lobos,3003102,50
Funchal,3003103,178
Machico,3003104,49
Ponta do Sol,3003105,37
Porto Moniz,3003106,3
Porto Santo,3003201,15
Ribeira Brava,3003107,4
Santa Cruz,3003108,61
Santana,3003109,12
São Vicente,3003110,26
