local,codigo,Estabelecimentos
0,0,Total
Portugal,PT,1571274
Continente,1,1502069
Norte,11,520037
Alto Minho,111,34489
Arcos de Valdevez,1111601,3067
Caminha,1111602,2691
Melgaço,1111603,1270
Monção,1111604,3424
Paredes de Coura,1111605,1203
Ponte da Barca,1111606,1483
Ponte de Lima,1111607,5720
Valença,1111608,2242
Viana do Castelo,1111609,12085
Vila Nova de Cerveira,1111610,1304
Cávado,112,59695
Amares,1120301,2385
Barcelos,1120302,15721
Braga,1120303,28816
Esposende,1120306,5530
Terras de Bouro,1120310,957
Vila Verde,1120313,6286
Ave,119,50321
Cabeceiras de Basto,1190304,1925
Fafe,1190307,5584
Guimarães,1190308,18576
Mondim de Basto,1191705,756
Póvoa de Lanhoso,1190309,2562
Vieira do Minho,1190311,1543
Vila Nova de Famalicão,1190312,16928
Vizela,1190314,2447
Área Metropolitana do Porto,11A,261234
Arouca,11A0104,2760
Espinho,11A0107,4032
Gondomar,11A1304,18338
Maia,11A1306,19349
Matosinhos,11A1308,25546
Oliveira de Azeméis,11A0113,8287
Paredes,11A1310,9760
Porto,11A1312,55190
Póvoa de Varzim,11A1313,9917
Santa Maria da Feira,11A0109,18211
Santo Tirso,11A1314,7342
São João da Madeira,11A0116,3528
Trofa,11A1318,5051
Vale de Cambra,11A0119,2730
Valongo,11A1315,10768
Vila do Conde,11A1316,10719
Vila Nova de Gaia,11A1317,49706
Alto Tâmega e Barroso,11B,13761
Boticas,11B1702,716
Chaves,11B1703,5187
Montalegre,11B1706,1735
Ribeira de Pena,11B1709,808
Valpaços,11B1712,3561
Vila Pouca de Aguiar,11B1713,1754
Tâmega e Sousa,11C,46318
Amarante,11C1301,6323
Baião,11C1302,1705
Castelo de Paiva,11C0106,1545
Celorico de Basto,11C0305,1840
Cinfães,11C1804,1854
Felgueiras,11C1303,7074
Lousada,11C1305,5357
Marco de Canaveses,11C1307,5214
Paços de Ferreira,11C1309,6359
Penafiel,11C1311,7597
Resende,11C1813,1450
Douro,11D,32441
Alijó,11D1701,2366
Armamar,11D1801,1027
Carrazeda de Ansiães,11D0403,1085
Freixo de Espada à Cinta,11D0404,630
Lamego,11D1805,3433
Mesão Frio,11D1704,606
Moimenta da Beira,11D1807,1447
Murça,11D1707,1233
Penedono,11D1812,617
Peso da Régua,11D1708,2574
Sabrosa,11D1710,1066
Santa Marta de Penaguião,11D1711,1484
São João da Pesqueira,11D1815,1635
Sernancelhe,11D1818,979
Tabuaço,11D1819,857
Tarouca,11D1820,977
Torre de Moncorvo,11D0409,1285
Vila Nova de Foz Côa,11D0914,1352
Vila Real,11D1714,7788
Terras de Trás-os-Montes,11E,21778
Alfândega da Fé,11E0401,1111
Bragança,11E0402,6897
Macedo de Cavaleiros,11E0405,3139
Miranda do Douro,11E0406,1257
Mirandela,11E0407,3748
Mogadouro,11E0408,1923
Vila Flor,11E0410,1138
Vimioso,11E0411,688
Vinhais,11E0412,1877
Centro,19,229248
Região de Aveiro,191,51138
Águeda,1910101,6391
Albergaria-a-Velha,1910102,3287
Anadia,1910103,4183
Aveiro,1910105,12751
Estarreja,1910108,3021
Ílhavo,1910110,5138
Murtosa,1910112,1338
Oliveira do Bairro,1910114,3296
Ovar,1910115,6820
Sever do Vouga,1910117,1634
Vagos,1910118,3279
Região de Coimbra,192,62207
Arganil,1920601,1329
Cantanhede,1920602,5389
Coimbra,1920603,24006
Condeixa-a-Nova,1920604,1988
Figueira da Foz,1920605,8047
Góis,1920606,504
Lousã,1920607,2099
Mealhada,1920111,2646
Mira,1920608,1630
Miranda do Corvo,1920609,1457
Montemor-o-Velho,1920610,2907
Mortágua,1921808,1315
Oliveira do Hospital,1920611,2214
Pampilhosa da Serra,1920612,303
Penacova,1920613,1662
Penela,1920614,764
Soure,1920615,1775
Tábua,1920616,1278
Vila Nova de Poiares,1920617,894
Região de Leiria,193,43207
Alvaiázere,1931002,926
Ansião,1931003,1607
Batalha,1931004,2406
Castanheira de Pêra,1931007,299
Figueiró dos Vinhos,1931008,675
Leiria,1931009,20920
Marinha Grande,1931010,5374
Pedrógão Grande,1931013,502
Pombal,1931015,7271
Porto de Mós,1931016,3227
Viseu Dão Lafões,194,32772
Aguiar da Beira,1940901,793
Carregal do Sal,1941802,951
Castro Daire,1941803,1536
Mangualde,1941806,2215
Nelas,1941809,1362
Oliveira de Frades,1941810,1296
Penalva do Castelo,1941811,930
Santa Comba Dão,1941814,1191
São Pedro do Sul,1941816,1821
Sátão,1941817,1384
Tondela,1941821,3233
Vila Nova de Paiva,1941822,587
Viseu,1941823,14257
Vouzela,1941824,1216
Beira Baixa,195,12495
Castelo Branco,1950502,6660
Idanha-a-Nova,1950505,1107
Oleiros,1950506,638
Penamacor,1950507,559
Proença-a-Nova,1950508,883
Sertã,1950509,1884
Vila de Rei,1950510,447
Vila Velha de Ródão,1950511,317
Beiras e Serra da Estrela,196,27429
Almeida,1960902,736
Belmonte,1960501,782
Celorico da Beira,1960903,708
Covilhã,1960503,5482
Figueira de Castelo Rodrigo,1960904,922
Fornos de Algodres,1960905,493
Fundão,1960504,3568
Gouveia,1960906,1392
Guarda,1960907,5196
Manteigas,1960908,341
Mêda,1960909,818
Pinhel,1960910,1713
Sabugal,1960911,1443
Seia,1960912,2460
Trancoso,1960913,1375
Oeste e Vale do Tejo,1D,110372
Oeste,1D1,55698
Alcobaça,1D11001,8014
Alenquer,1D11101,5212
Arruda dos Vinhos,1D11102,2090
Bombarral,1D11005,2031
Cadaval,1D11104,1922
Caldas da Rainha,1D11006,8368
Lourinhã,1D11108,4266
Nazaré,1D11011,2736
Óbidos,1D11012,2419
Peniche,1D11014,3937
Sobral de Monte Agraço,1D11112,1504
Torres Vedras,1D11113,13199
Médio Tejo,1D2,25631
Abrantes,1D21401,3517
Alcanena,1D21402,1662
Constância,1D21408,352
Entroncamento,1D21410,2283
Ferreira do Zêzere,1D21411,918
Mação,1D21413,735
Ourém,1D21421,6677
Sardoal,1D21417,427
Tomar,1D21418,4487
Torres Novas,1D21419,3925
Vila Nova da Barquinha,1D21420,648
Lezíria do Tejo,1D3,29043
Almeirim,1D31403,3035
Alpiarça,1D31404,866
Azambuja,1D31103,2201
Benavente,1D31405,3655
Cartaxo,1D31406,2665
Chamusca,1D31407,995
Coruche,1D31409,2062
Golegã,1D31412,674
Rio Maior,1D31414,2815
Salvaterra de Magos,1D31415,2217
Santarém,1D31416,7858
Grande Lisboa,1A,371103
Grande Lisboa,1A0,371103
Amadora,1A01115,23254
Cascais,1A01105,39841
Lisboa,1A01106,147329
Loures,1A01107,26164
Mafra,1A01109,13919
Odivelas,1A01116,22122
Oeiras,1A01110,30461
Sintra,1A01111,52662
Vila Franca de Xira,1A01114,15351
Península de Setúbal,1B,103641
Península de Setúbal,1B0,103641
Alcochete,1B01502,2509
Almada,1B01503,25412
Barreiro,1B01504,8508
Moita,1B01506,5985
Montijo,1B01507,7673
Palmela,1B01508,8672
Seixal,1B01510,20903
Sesimbra,1B01511,7408
Setúbal,1B01512,16571
Alentejo,1C,68927
Alentejo Litoral,1C1,15090
Alcácer do Sal,1C11501,1954
Grândola,1C11505,2464
Odemira,1C10211,4828
Santiago do Cacém,1C11509,3929
Sines,1C11513,1915
Baixo Alentejo,1C2,17349
Aljustrel,1C20201,930
Almodôvar,1C20202,956
Alvito,1C20203,342
Barrancos,1C20204,280
Beja,1C20205,5341
Castro Verde,1C20206,883
Cuba,1C20207,676
Ferreira do Alentejo,1C20208,1228
Mértola,1C20209,895
Moura,1C20210,2144
Ourique,1C20212,771
Serpa,1C20213,2121
Vidigueira,1C20214,782
Alto Alentejo,1C3,13931
Alter do Chão,1C31201,398
Arronches,1C31202,389
Avis,1C31203,496
Campo Maior,1C31204,822
Castelo de Vide,1C31205,445
Crato,1C31206,446
Elvas,1C31207,2859
Fronteira,1C31208,485
Gavião,1C31209,336
Marvão,1C31210,525
Monforte,1C31211,346
Nisa,1C31212,803
Ponte de Sor,1C31213,1833
Portalegre,1C31214,3060
Sousel,1C31215,688
Alentejo Central,1C4,22557
Alandroal,1C40701,711
Arraiolos,1C40702,941
Borba,1C40703,954
Estremoz,1C40704,1943
Évora,1C40705,8094
Montemor-o-Novo,1C40706,2476
Mora,1C40707,528
Mourão,1C40708,319
Portel,1C40709,803
Redondo,1C40710,944
Reguengos de Monsaraz,1C40711,1579
Vendas Novas,1C40712,1430
Viana do Alentejo,1C40713,851
Vila Viçosa,1C40714,984
Algarve,15,98741
Algarve,150,98741
Albufeira,1500801,12497
Alcoutim,1500802,373
Aljezur,1500803,1643
Castro Marim,1500804,1023
Faro,1500805,13168
Lagoa,1500806,5793
Lagos,1500807,8028
Loulé,1500808,17585
Monchique,1500809,892
Olhão,1500810,7078
Portimão,1500811,11915
São Brás de Alportel,1500812,2040
Silves,1500813,6796
Tavira,1500814,5421
Vila do Bispo,1500815,1447
Vila Real de Santo António,1500816,3042
Região Autónoma dos Açores,2,33385
Região Autónoma dos Açores,20,33385
Região Autónoma dos Açores,200,33385
Angra do Heroísmo,2004301,5063
Calheta (R.A.A.),2004501,638
Corvo,2004901,101
Horta,2004701,2613
Lagoa (R.A.A.),2004201,1569
Lajes das Flores,2004801,294
Lajes do Pico,2004601,797
Madalena,2004602,1240
Nordeste,2004202,499
Ponta Delgada,2004203,9466
Povoação,2004204,555
Ribeira Grande,2004205,3199
Santa Cruz da Graciosa,2004401,632
Santa Cruz das Flores,2004802,403
São Roque do Pico,2004603,634
Velas,2004502,875
Vila da Praia da Vitória,2004302,2735
Vila do Porto,2004101,873
Vila Franca do Campo,2004206,1199
Região Autónoma da Madeira,3,35820
Região Autónoma da Madeira,30,35820
Região Autónoma da Madeira,300,35820
Calheta (R.A.M.),3003101,2006
Câmara de Lobos,3003102,3316
Funchal,3003103,17831
Machico,3003104,1909
Ponta do Sol,3003105,1754
Porto Moniz,3003106,389
Ribeira Brava,3003107,1525
Santa Cruz,3003108,4826
Santana,3003109,733
São Vicente,3003110,828
Porto Santo,3003201,703
